Date,Gold,Silver,Oil
2006-10-27,457.92,7.26,30.84
2006-10-30,456.55,7.20,31.14
2006-10-31,458.25,7.22,30.77
2006-11-01,459.47,7.24,30.69
2006-11-02,456.38,7.24,30.48
2006-11-03,456.63,7.24,30.40
2006-11-06,458.71,7.24,30.53
2006-11-07,459.74,7.29,30.30
2006-11-08,459.01,7.34,30.34
2006-11-09,461.67,7.38,30.23
2006-11-10,463.77,7.37,30.46
2006-11-13,468.14,7.43,31.03
2006-11-14,464.57,7.40,30.96
2006-11-15,463.71,7.42,30.87
2006-11-16,466.35,7.47,30.98
2006-11-17,464.06,7.50,31.15
2006-11-20,464.95,7.51,31.50
2006-11-21,463.74,7.49,31.67
2006-11-22,465.04,7.54,31.60
2006-11-23,462.06,7.47,31.50
2006-11-24,463.96,7.51,31.04
2006-11-27,465.26,7.51,30.79
2006-11-28,470.43,7.53,31.00
2006-11-29,476.54,7.50,30.90
2006-11-30,480.16,7.43,30.92
2006-12-01,480.34,7.48,31.02
2006-12-04,478.22,7.54,31.24
2006-12-05,475.78,7.50,31.11
2006-12-06,473.12,7.56,31.03
2006-12-07,472.53,7.50,30.94
2006-12-08,476.11,7.55,30.54
2006-12-11,473.83,7.58,30.42
2006-12-12,472.59,7.54,30.10
2006-12-13,472.88,7.52,30.38
2006-12-14,472.80,7.47,30.55
2006-12-15,476.05,7.43,30.14
2006-12-18,474.98,7.36,30.54
2006-12-19,471.76,7.35,30.90
2006-12-20,473.88,7.32,30.71
2006-12-21,473.52,7.31,31.08
2006-12-22,473.23,7.24,31.33
2006-12-25,475.75,7.23,31.52
2006-12-26,475.94,7.17,31.51
2006-12-27,473.29,7.14,31.27
2006-12-28,474.15,7.15,30.95
2006-12-29,472.04,7.16,31.06
2007-01-01,472.28,7.05,31.39
2007-01-02,476.54,7.13,31.53
2007-01-03,478.21,7.09,31.58
2007-01-04,475.58,7.10,31.22
2007-01-05,477.04,7.09,31.41
2007-01-08,477.55,7.06,31.63
2007-01-09,474.82,7.05,31.50
2007-01-10,476.66,7.05,31.57
2007-01-11,477.98,6.94,31.34
2007-01-12,478.33,6.99,31.48
2007-01-15,481.54,6.98,31.51
2007-01-16,480.40,6.96,31.31
2007-01-17,479.17,6.95,31.15
2007-01-18,479.31,6.86,31.25
2007-01-19,479.80,6.89,31.14
2007-01-22,478.66,6.93,31.11
2007-01-23,483.48,6.87,31.05
2007-01-24,480.83,6.83,30.86
2007-01-25,479.75,6.87,30.58
2007-01-26,481.28,6.80,30.48
2007-01-29,484.53,6.82,30.55
2007-01-30,486.13,6.85,30.71
2007-01-31,489.61,6.81,30.69
2007-02-01,491.25,6.84,30.83
2007-02-02,494.53,6.82,30.50
2007-02-05,497.75,6.82,30.37
2007-02-06,497.91,6.80,30.62
2007-02-07,500.20,6.82,30.75
2007-02-08,500.36,6.87,30.18
2007-02-09,497.51,6.87,30.08
2007-02-12,495.22,6.90,29.85
2007-02-13,495.84,6.91,29.86
2007-02-14,493.86,6.90,30.16
2007-02-15,495.27,6.95,30.14
2007-02-16,491.13,6.93,30.11
2007-02-19,494.40,6.98,30.21
2007-02-20,492.36,6.99,30.15
2007-02-21,491.83,6.93,30.27
2007-02-22,491.83,6.97,29.92
2007-02-23,489.13,7.15,29.71
2007-02-26,489.91,7.17,29.48
2007-02-27,494.22,7.17,29.52
2007-02-28,498.78,7.13,29.41
2007-03-01,498.00,7.07,29.47
2007-03-02,499.25,7.08,29.63
2007-03-05,501.49,7.09,29.58
2007-03-06,504.62,7.06,29.91
2007-03-07,504.21,7.10,30.35
2007-03-08,498.58,7.09,30.26
2007-03-09,502.91,7.07,30.92
2007-03-12,499.14,7.09,30.83
2007-03-13,500.48,7.07,30.72
2007-03-14,495.99,7.07,30.35
2007-03-15,492.82,7.08,30.33
2007-03-16,495.42,7.01,30.43
2007-03-19,496.29,7.00,30.24
2007-03-20,496.17,7.04,30.15
2007-03-21,498.35,7.03,30.57
2007-03-22,498.49,7.02,30.18
2007-03-23,495.01,7.04,30.13
2007-03-26,495.78,7.01,30.10
2007-03-27,494.31,7.03,30.05
2007-03-28,498.99,7.00,30.32
2007-03-29,496.43,6.97,30.12
2007-03-30,499.63,7.00,30.15
2007-04-02,500.29,6.95,30.49
2007-04-03,503.85,6.95,30.50
2007-04-04,505.56,6.94,30.46
2007-04-05,504.39,6.92,30.34
2007-04-06,506.30,6.91,30.24
2007-04-09,504.79,6.84,30.62
2007-04-10,506.15,6.88,30.49
2007-04-11,509.91,6.89,30.85
2007-04-12,509.96,6.89,30.73
2007-04-13,510.23,6.90,31.10
2007-04-16,514.24,6.91,31.40
2007-04-17,507.33,6.88,31.47
2007-04-18,509.65,6.91,31.46
2007-04-19,508.55,6.87,31.94
2007-04-20,511.48,6.93,31.94
2007-04-23,510.19,6.96,31.94
2007-04-24,509.94,6.96,31.78
2007-04-25,507.80,6.95,31.43
2007-04-26,509.39,6.99,31.24
2007-04-27,504.81,7.01,31.31
2007-04-30,504.94,6.95,30.83
2007-05-01,509.34,6.94,30.96
2007-05-02,509.23,6.96,30.64
2007-05-03,508.18,6.90,30.38
2007-05-04,506.45,6.81,30.27
2007-05-07,504.73,6.76,30.24
2007-05-08,504.77,6.72,30.73
2007-05-09,506.66,6.77,30.65
2007-05-10,509.00,6.81,30.41
2007-05-11,507.34,6.95,30.31
2007-05-14,508.65,6.94,30.51
2007-05-15,506.20,6.89,30.79
2007-05-16,506.78,6.78,30.80
2007-05-17,506.39,6.81,30.88
2007-05-18,507.34,6.82,30.96
2007-05-21,504.49,6.78,30.75
2007-05-22,501.18,6.82,31.02
2007-05-23,502.79,6.79,30.89
2007-05-24,501.76,6.84,31.02
2007-05-25,506.20,6.80,30.97
2007-05-28,503.09,6.73,30.93
2007-05-29,502.32,6.71,30.56
2007-05-30,502.89,6.70,30.78
2007-05-31,504.35,6.64,30.89
2007-06-01,502.91,6.71,30.88
2007-06-04,501.72,6.69,30.51
2007-06-05,504.99,6.79,30.09
2007-06-06,504.43,6.79,29.95
2007-06-07,507.58,6.85,29.90
2007-06-08,512.91,6.85,29.84
2007-06-11,513.71,6.82,30.19
2007-06-12,515.37,6.80,30.15
2007-06-13,513.11,6.82,29.84
2007-06-14,513.19,6.79,29.98
2007-06-15,515.94,6.83,29.95
2007-06-18,514.19,6.82,29.95
2007-06-19,515.52,6.79,29.72
2007-06-20,516.05,6.86,30.17
2007-06-21,518.17,6.81,30.52
2007-06-22,516.06,6.78,30.62
2007-06-25,512.57,6.82,30.61
2007-06-26,513.67,6.78,30.82
2007-06-27,515.07,6.76,31.06
2007-06-28,508.29,6.78,31.04
2007-06-29,506.35,6.79,31.16
2007-07-02,504.56,6.79,31.16
2007-07-03,505.63,6.85,31.04
2007-07-04,509.03,6.79,31.12
2007-07-05,504.73,6.79,31.30
2007-07-06,509.91,6.79,31.12
2007-07-09,512.61,6.80,31.15
2007-07-10,515.03,6.85,30.72
2007-07-11,515.24,6.85,30.46
2007-07-12,511.14,6.85,30.35
2007-07-13,509.36,6.84,30.27
2007-07-16,509.48,6.92,30.26
2007-07-17,514.35,6.98,30.50
2007-07-18,512.55,6.97,30.28
2007-07-19,513.70,6.97,30.39
2007-07-20,514.55,6.98,30.31
2007-07-23,512.12,6.96,30.48
2007-07-24,511.78,6.96,30.70
2007-07-25,513.11,6.89,30.68
2007-07-26,510.95,6.88,30.78
2007-07-27,512.33,6.97,30.66
2007-07-30,511.65,7.00,30.90
2007-07-31,509.08,7.03,31.07
2007-08-01,508.78,7.02,31.25
2007-08-02,509.94,7.04,31.07
2007-08-03,505.63,7.04,31.01
2007-08-06,506.86,7.00,31.17
2007-08-07,507.97,6.97,31.41
2007-08-08,507.18,6.93,31.47
2007-08-09,507.22,6.89,31.63
2007-08-10,507.27,6.85,31.19
2007-08-13,508.43,6.86,31.22
2007-08-14,512.01,6.74,31.54
2007-08-15,515.57,6.70,31.80
2007-08-16,513.56,6.65,31.78
2007-08-17,518.33,6.67,31.80
2007-08-20,520.70,6.64,32.18
2007-08-21,524.87,6.66,31.98
2007-08-22,527.76,6.68,32.15
2007-08-23,530.84,6.70,31.92
2007-08-24,534.87,6.71,32.01
2007-08-27,536.60,6.73,32.20
2007-08-28,537.21,6.72,32.06
2007-08-29,535.92,6.71,32.32
2007-08-30,535.09,6.71,32.30
2007-08-31,536.60,6.74,32.81
2007-09-03,532.95,6.73,32.96
2007-09-04,528.54,6.81,32.94
2007-09-05,526.52,6.86,32.36
2007-09-06,527.15,6.81,32.36
2007-09-07,528.22,6.85,32.47
2007-09-10,533.81,6.86,32.38
2007-09-11,537.16,6.86,32.49
2007-09-12,526.67,6.88,32.48
2007-09-13,525.60,6.85,32.72
2007-09-14,520.31,7.00,33.02
2007-09-17,521.35,7.09,33.10
2007-09-18,519.10,7.15,32.67
2007-09-19,520.73,7.21,32.81
2007-09-20,517.03,7.22,32.78
2007-09-21,515.19,7.11,32.47
2007-09-24,513.98,7.16,33.19
2007-09-25,516.26,7.12,33.08
2007-09-26,519.13,7.16,33.19
2007-09-27,519.83,7.22,33.79
2007-09-28,519.93,7.23,33.93
2007-10-01,518.81,7.12,34.06
2007-10-02,516.98,7.18,34.12
2007-10-03,520.93,7.14,34.43
2007-10-04,516.76,7.19,34.37
2007-10-05,519.26,7.17,34.56
2007-10-08,520.64,7.20,34.69
2007-10-09,525.09,7.17,35.08
2007-10-10,524.24,7.23,35.74
2007-10-11,522.23,7.12,35.79
2007-10-12,520.50,7.10,35.70
2007-10-15,519.19,7.17,36.02
2007-10-16,522.28,7.29,35.80
2007-10-17,515.83,7.39,35.88
2007-10-18,515.77,7.30,35.50
2007-10-19,517.63,7.30,34.89
2007-10-22,515.27,7.35,35.25
2007-10-23,515.90,7.50,35.54
2007-10-24,520.65,7.57,35.78
2007-10-25,517.24,7.49,35.57
2007-10-26,517.99,7.49,35.68
2007-10-29,518.01,7.51,35.97
2007-10-30,518.11,7.50,35.22
2007-10-31,520.45,7.46,34.96
2007-11-01,522.78,7.51,35.16
2007-11-02,525.35,7.45,35.10
2007-11-05,523.99,7.55,35.34
2007-11-06,523.43,7.59,35.45
2007-11-07,523.20,7.62,35.70
2007-11-08,522.90,7.55,35.80
2007-11-09,522.29,7.49,35.59
2007-11-12,521.72,7.50,35.75
2007-11-13,521.24,7.52,35.65
2007-11-14,522.74,7.55,35.81
2007-11-15,526.58,7.53,35.36
2007-11-16,526.45,7.58,35.37
2007-11-19,527.37,7.49,35.14
2007-11-20,528.87,7.53,34.93
2007-11-21,529.92,7.49,34.61
2007-11-22,530.19,7.51,34.72
2007-11-23,532.20,7.59,34.99
2007-11-26,531.32,7.65,34.58
2007-11-27,531.67,7.70,34.78
2007-11-28,533.95,7.81,34.57
2007-11-29,536.15,7.81,34.88
2007-11-30,536.55,7.85,35.32
2007-12-03,538.32,7.84,35.22
2007-12-04,536.53,7.90,35.59
2007-12-05,535.96,7.80,35.42
2007-12-06,537.20,7.75,34.86
2007-12-07,536.09,7.64,34.96
2007-12-10,535.09,7.65,35.33
2007-12-11,532.74,7.53,35.32
2007-12-12,534.07,7.46,35.22
2007-12-13,533.23,7.46,35.05
2007-12-14,540.41,7.45,35.11
2007-12-17,539.18,7.31,35.50
2007-12-18,530.75,7.38,35.13
2007-12-19,527.22,7.38,35.75
2007-12-20,528.14,7.37,35.53
2007-12-21,529.94,7.35,35.74
2007-12-24,524.82,7.38,35.83
2007-12-25,521.33,7.33,35.79
2007-12-26,520.14,7.35,35.39
2007-12-27,517.92,7.46,35.15
2007-12-28,516.89,7.45,35.08
2007-12-31,520.09,7.42,35.32
2008-01-01,517.94,7.46,35.26
2008-01-02,517.57,7.46,35.42
2008-01-03,514.55,7.41,36.00
2008-01-04,515.93,7.39,36.19
2008-01-07,515.86,7.28,36.24
2008-01-08,515.62,7.30,36.02
2008-01-09,515.13,7.36,35.98
2008-01-10,514.10,7.38,35.87
2008-01-11,516.92,7.37,35.98
2008-01-14,515.18,7.31,36.19
2008-01-15,515.93,7.34,36.40
2008-01-16,512.22,7.35,35.82
2008-01-17,513.63,7.29,35.96
2008-01-18,515.57,7.27,35.96
2008-01-21,518.80,7.18,36.15
2008-01-22,519.18,7.23,35.67
2008-01-23,519.27,7.29,36.07
2008-01-24,517.35,7.28,36.60
2008-01-25,513.75,7.28,36.66
2008-01-28,514.28,7.23,36.94
2008-01-29,516.64,7.32,36.71
2008-01-30,515.48,7.38,37.25
2008-01-31,515.53,7.31,37.19
2008-02-01,518.09,7.34,37.52
2008-02-04,523.16,7.32,37.25
2008-02-05,520.09,7.32,37.56
2008-02-06,524.66,7.33,37.57
2008-02-07,524.39,7.39,37.34
2008-02-08,524.19,7.39,37.34
2008-02-11,529.01,7.35,38.08
2008-02-12,527.36,7.30,37.88
2008-02-13,529.14,7.31,38.22
2008-02-14,527.04,7.22,38.11
2008-02-15,527.86,7.15,38.09
2008-02-18,529.35,7.11,37.84
2008-02-19,526.53,7.10,37.98
2008-02-20,533.85,7.16,37.60
2008-02-21,529.83,7.16,38.08
2008-02-22,531.65,7.13,38.39
2008-02-25,535.39,7.21,38.06
2008-02-26,536.64,7.15,37.82
2008-02-27,533.29,7.13,37.39
2008-02-28,535.43,7.13,37.14
2008-02-29,536.81,7.21,37.24
2008-03-03,535.33,7.20,37.21
2008-03-04,533.53,7.11,37.11
2008-03-05,536.93,7.07,36.54
2008-03-06,536.77,7.13,36.04
2008-03-07,537.36,7.15,36.19
2008-03-10,538.94,7.18,35.74
2008-03-11,540.68,7.26,35.68
2008-03-12,541.76,7.21,36.06
2008-03-13,540.17,7.29,35.95
2008-03-14,542.08,7.26,36.49
2008-03-17,536.82,7.28,35.89
2008-03-18,533.66,7.38,36.15
2008-03-19,528.38,7.38,35.98
2008-03-20,529.96,7.48,36.17
2008-03-21,531.19,7.51,35.86
2008-03-24,533.14,7.56,35.69
2008-03-25,531.50,7.64,35.75
2008-03-26,528.56,7.62,35.62
2008-03-27,528.47,7.61,35.55
2008-03-28,532.97,7.66,35.98
2008-03-31,528.53,7.67,36.32
2008-04-01,530.53,7.63,36.11
2008-04-02,533.16,7.62,36.30
2008-04-03,533.65,7.62,36.33
2008-04-04,531.52,7.71,36.50
2008-04-07,535.32,7.68,36.34
2008-04-08,534.55,7.64,36.54
2008-04-09,536.53,7.61,36.45
2008-04-10,537.62,7.57,36.34
2008-04-11,541.90,7.54,36.19
2008-04-14,548.76,7.42,35.85
2008-04-15,553.78,7.40,36.00
2008-04-16,559.73,7.37,35.83
2008-04-17,560.96,7.37,35.69
2008-04-18,560.67,7.30,35.82
2008-04-21,563.10,7.29,35.76
2008-04-22,564.73,7.27,35.68
2008-04-23,564.62,7.34,35.67
2008-04-24,564.38,7.34,35.56
2008-04-25,561.74,7.29,35.81
2008-04-28,560.23,7.30,35.68
2008-04-29,556.59,7.27,36.08
2008-04-30,555.52,7.24,35.96
2008-05-01,554.68,7.25,35.84
2008-05-02,554.49,7.23,35.95
2008-05-05,555.44,7.24,36.14
2008-05-06,555.24,7.31,36.27
2008-05-07,559.46,7.30,36.36
2008-05-08,557.63,7.31,36.60
2008-05-09,556.70,7.38,36.61
2008-05-12,561.19,7.33,36.53
2008-05-13,559.88,7.38,36.72
2008-05-14,559.75,7.36,36.72
2008-05-15,561.86,7.41,36.71
2008-05-16,560.69,7.41,36.75
2008-05-19,561.48,7.39,37.26
2008-05-20,559.80,7.47,37.68
2008-05-21,562.54,7.57,37.85
2008-05-22,561.73,7.54,37.65
2008-05-23,564.17,7.47,37.23
2008-05-26,568.57,7.52,37.36
2008-05-27,571.28,7.56,37.30
2008-05-28,567.17,7.63,37.44
2008-05-29,563.36,7.64,37.30
2008-05-30,563.12,7.63,37.47
2008-06-02,562.61,7.57,37.68
2008-06-03,564.06,7.49,37.80
2008-06-04,566.65,7.49,37.87
2008-06-05,564.57,7.40,38.03
2008-06-06,564.41,7.42,37.96
2008-06-09,563.76,7.43,37.94
2008-06-10,566.29,7.41,37.51
2008-06-11,566.78,7.34,36.75
2008-06-12,563.76,7.32,36.52
2008-06-13,559.51,7.31,36.88
2008-06-16,561.91,7.31,37.16
2008-06-17,560.76,7.27,37.36
2008-06-18,557.81,7.29,37.36
2008-06-19,556.88,7.27,37.70
2008-06-20,552.54,7.28,37.62
2008-06-23,550.57,7.29,37.72
2008-06-24,550.49,7.30,38.15
2008-06-25,548.92,7.32,37.62
2008-06-26,550.25,7.23,37.82
2008-06-27,549.03,7.24,37.38
2008-06-30,549.18,7.28,37.57
2008-07-01,549.21,7.28,37.92
2008-07-02,551.31,7.25,37.74
2008-07-03,549.52,7.25,37.40
2008-07-04,543.68,7.24,37.48
2008-07-07,544.26,7.30,37.09
2008-07-08,542.95,7.23,37.17
2008-07-09,542.75,7.20,37.19
2008-07-10,540.91,7.15,37.66
2008-07-11,543.18,7.14,37.20
2008-07-14,542.68,7.18,37.25
2008-07-15,545.50,7.24,37.23
2008-07-16,544.31,7.21,37.11
2008-07-17,546.85,7.19,36.62
2008-07-18,548.20,7.19,36.48
2008-07-21,542.90,7.25,36.69
2008-07-22,539.90,7.26,36.38
2008-07-23,536.31,7.16,36.61
2008-07-24,538.75,7.14,36.59
2008-07-25,543.55,7.10,36.25
2008-07-28,543.98,7.13,36.17
2008-07-29,540.19,7.10,36.37
2008-07-30,542.20,7.02,36.02
2008-07-31,539.61,7.02,36.66
2008-08-01,538.92,7.02,36.43
2008-08-04,545.96,6.99,36.28
2008-08-05,546.47,6.93,36.52
2008-08-06,546.53,6.89,36.35
2008-08-07,541.44,6.86,35.69
2008-08-08,540.30,6.84,35.53
2008-08-11,538.81,6.80,35.88
2008-08-12,542.77,6.80,36.21
2008-08-13,542.01,6.78,35.98
2008-08-14,543.99,6.81,35.61
2008-08-15,544.50,6.79,35.35
2008-08-18,544.51,6.70,35.24
2008-08-19,549.74,6.72,34.92
2008-08-20,551.34,6.73,34.83
2008-08-21,549.81,6.73,34.67
2008-08-22,549.42,6.76,34.90
2008-08-25,545.94,6.74,35.35
2008-08-26,550.93,6.76,35.81
2008-08-27,554.34,6.76,35.24
2008-08-28,554.25,6.70,35.29
2008-08-29,559.17,6.71,35.07
2008-09-01,555.99,6.62,34.54
2008-09-02,560.59,6.66,34.50
2008-09-03,560.25,6.66,34.50
2008-09-04,564.23,6.68,33.96
2008-09-05,567.31,6.59,33.85
2008-09-08,563.46,6.59,33.52
2008-09-09,559.66,6.55,33.74
2008-09-10,559.23,6.58,34.11
2008-09-11,559.98,6.61,33.85
2008-09-12,559.83,6.55,34.00
2008-09-15,562.45,6.60,34.00
2008-09-16,565.05,6.60,33.85
2008-09-17,566.55,6.63,34.45
2008-09-18,568.70,6.58,34.18
2008-09-19,565.09,6.58,33.88
2008-09-22,569.02,6.57,34.06
2008-09-23,569.54,6.59,33.78
2008-09-24,569.53,6.57,33.76
2008-09-25,569.97,6.60,33.64
2008-09-26,572.40,6.62,34.08
2008-09-29,563.01,6.59,34.43
2008-09-30,555.99,6.66,34.45
2008-10-01,550.40,6.70,34.17
2008-10-02,547.97,6.77,34.06
2008-10-03,545.42,6.86,34.32
2008-10-06,544.59,6.83,34.27
2008-10-07,548.97,6.78,33.92
2008-10-08,552.55,6.77,33.95
2008-10-09,554.08,6.75,33.30
2008-10-10,553.58,6.81,33.88
2008-10-13,553.34,6.81,34.25
2008-10-14,555.07,6.83,33.71
2008-10-15,553.99,6.84,33.31
2008-10-16,553.06,6.92,33.24
2008-10-17,549.18,6.83,33.24
2008-10-20,547.68,6.79,33.31
2008-10-21,548.54,6.80,33.40
2008-10-22,545.25,6.77,33.32
2008-10-23,545.18,6.82,33.13
2008-10-24,543.15,6.89,33.18
2008-10-27,539.43,6.88,32.85
2008-10-28,536.45,6.82,32.64
2008-10-29,542.05,6.87,33.01
2008-10-30,545.08,6.86,33.12
2008-10-31,545.44,6.81,32.81
2008-11-03,547.98,6.75,32.87
2008-11-04,549.85,6.79,32.97
2008-11-05,546.63,6.82,32.94
2008-11-06,544.04,6.73,33.06
2008-11-07,539.90,6.65,33.52
2008-11-10,536.74,6.63,33.55
2008-11-11,537.01,6.58,33.36
2008-11-12,539.25,6.57,33.36
2008-11-13,533.50,6.55,33.59
2008-11-14,531.63,6.50,33.69
2008-11-17,533.30,6.52,33.54
2008-11-18,535.38,6.60,33.86
2008-11-19,531.28,6.73,33.51
2008-11-20,528.10,6.75,33.48
2008-11-21,529.14,6.81,33.74
2008-11-24,526.85,6.82,34.01
2008-11-25,529.70,6.87,34.24
2008-11-26,531.66,6.85,33.88
2008-11-27,532.86,6.83,34.22
2008-11-28,530.62,6.81,34.11
2008-12-01,533.26,6.85,34.12
2008-12-02,534.12,6.93,33.64
2008-12-03,536.20,6.98,33.97
2008-12-04,538.43,6.94,33.83
2008-12-05,540.29,6.92,33.78
2008-12-08,536.31,6.86,33.87
2008-12-09,535.25,6.82,33.83
2008-12-10,536.13,6.81,33.88
2008-12-11,536.45,6.80,33.88
2008-12-12,534.15,6.78,33.38
2008-12-15,531.12,6.73,33.28
2008-12-16,534.20,6.73,33.32
2008-12-17,531.76,6.74,33.78
2008-12-18,531.61,6.70,33.47
2008-12-19,532.39,6.66,33.66
2008-12-22,529.77,6.59,33.79
2008-12-23,526.42,6.61,34.08
2008-12-24,524.94,6.63,34.46
2008-12-25,523.80,6.70,34.37
2008-12-26,521.42,6.71,34.44
2008-12-29,524.46,6.75,34.54
2008-12-30,526.26,6.76,34.77
2008-12-31,524.97,6.71,34.83
2009-01-01,532.11,6.75,34.64
2009-01-02,535.90,6.66,34.57
2009-01-05,537.04,6.63,34.41
2009-01-06,536.67,6.61,34.20
2009-01-07,533.84,6.54,33.94
2009-01-08,533.65,6.58,33.76
2009-01-09,530.50,6.66,33.45
2009-01-12,530.83,6.62,33.26
2009-01-13,531.93,6.64,33.61
2009-01-14,533.79,6.65,33.78
2009-01-15,531.12,6.71,33.92
2009-01-16,532.50,6.74,33.53
2009-01-19,529.56,6.74,33.57
2009-01-20,531.16,6.75,33.52
2009-01-21,534.58,6.77,33.73
2009-01-22,537.86,6.83,33.81
2009-01-23,539.89,6.84,34.11
2009-01-26,546.13,6.79,33.91
2009-01-27,550.53,6.80,33.79
2009-01-28,548.71,6.85,33.95
2009-01-29,554.30,6.85,34.20
2009-01-30,558.96,6.78,33.91
2009-02-02,559.81,6.75,33.80
2009-02-03,558.04,6.75,33.56
2009-02-04,554.55,6.77,33.60
2009-02-05,557.35,6.79,33.71
2009-02-06,559.53,6.75,33.58
2009-02-09,560.39,6.80,33.76
2009-02-10,559.88,6.79,33.83
2009-02-11,556.72,6.83,34.04
2009-02-12,559.39,6.88,34.32
2009-02-13,554.21,6.89,33.93
2009-02-16,551.65,6.89,34.25
2009-02-17,552.65,6.90,34.75
2009-02-18,553.39,6.86,34.36
2009-02-19,551.06,6.86,33.94
2009-02-20,552.35,6.88,33.75
2009-02-23,552.72,6.91,33.58
2009-02-24,554.83,6.87,33.74
2009-02-25,558.96,6.89,33.40
2009-02-26,559.29,6.89,33.18
2009-02-27,555.85,6.88,33.41
2009-03-02,558.21,6.94,33.40
2009-03-03,563.77,6.90,33.52
2009-03-04,563.18,6.97,33.54
2009-03-05,560.36,6.98,33.24
2009-03-06,558.00,7.03,33.24
2009-03-09,560.47,6.99,33.58
2009-03-10,560.06,6.89,33.35
2009-03-11,556.23,6.82,33.49
2009-03-12,557.33,6.85,33.29
2009-03-13,558.90,6.79,33.17
2009-03-16,558.54,6.76,33.20
2009-03-17,558.56,6.78,33.28
2009-03-18,561.31,6.76,33.46
2009-03-19,562.17,6.77,33.50
2009-03-20,556.19,6.87,33.25
2009-03-23,554.06,6.85,32.91
2009-03-24,558.98,6.82,32.73
2009-03-25,556.75,6.85,33.10
2009-03-26,557.59,6.81,33.45
2009-03-27,558.46,6.78,33.44
2009-03-30,558.92,6.79,33.44
2009-03-31,559.07,6.88,34.20
2009-04-01,559.63,6.84,33.92
2009-04-02,561.99,6.76,33.87
2009-04-03,563.19,6.77,33.77
2009-04-06,568.45,6.81,33.64
2009-04-07,570.76,6.80,33.51
2009-04-08,569.68,6.86,33.36
2009-04-09,569.56,6.91,33.45
2009-04-10,570.33,6.88,34.07
2009-04-13,572.75,6.77,34.43
2009-04-14,569.15,6.70,34.24
2009-04-15,572.82,6.69,34.30
2009-04-16,568.12,6.74,34.23
2009-04-17,564.55,6.76,34.37
2009-04-20,564.87,6.82,34.54
2009-04-21,569.20,6.82,34.57
2009-04-22,571.74,6.88,34.48
2009-04-23,577.22,6.89,34.49
2009-04-24,578.58,6.85,34.04
2009-04-27,584.61,6.90,33.79
2009-04-28,585.10,6.93,33.66
2009-04-29,589.38,6.91,33.93
2009-04-30,587.61,6.93,34.35
2009-05-01,589.10,6.91,34.42
2009-05-04,591.32,6.89,34.31
2009-05-05,596.62,6.96,34.13
2009-05-06,592.77,6.90,33.83
2009-05-07,592.02,6.90,33.46
2009-05-08,592.57,6.76,33.50
2009-05-11,597.42,6.70,32.73
2009-05-12,598.01,6.74,32.63
2009-05-13,598.78,6.80,33.07
2009-05-14,600.66,6.74,33.12
2009-05-15,597.75,6.74,33.06
2009-05-18,596.13,6.81,33.01
2009-05-19,591.81,6.83,33.19
2009-05-20,592.05,6.80,33.08
2009-05-21,590.39,6.78,32.90
2009-05-22,589.83,6.71,32.96
2009-05-25,587.61,6.76,33.07
2009-05-26,592.12,6.69,33.44
2009-05-27,591.87,6.72,33.69
2009-05-28,594.80,6.73,33.81
2009-05-29,594.62,6.76,33.57
2009-06-01,595.91,6.84,34.12
2009-06-02,599.18,6.91,34.26
2009-06-03,602.43,7.00,34.25
2009-06-04,597.73,7.00,34.31
2009-06-05,595.36,6.94,34.17
2009-06-08,591.79,6.99,34.64
2009-06-09,593.88,6.92,34.70
2009-06-10,591.42,6.93,34.48
2009-06-11,594.41,6.97,34.39
2009-06-12,596.00,6.97,34.87
2009-06-15,590.42,6.99,35.22
2009-06-16,589.43,6.97,35.28
2009-06-17,586.81,6.95,34.99
2009-06-18,586.37,6.85,34.83
2009-06-19,588.10,6.83,34.71
2009-06-22,590.83,6.91,34.51
2009-06-23,594.48,6.82,34.28
2009-06-24,596.16,6.84,34.32
2009-06-25,598.83,6.83,34.53
2009-06-26,597.45,6.80,34.02
2009-06-29,599.56,6.76,34.29
2009-06-30,602.68,6.75,34.32
2009-07-01,603.37,6.74,33.93
2009-07-02,607.82,6.72,34.07
2009-07-03,608.80,6.73,34.14
2009-07-06,611.66,6.69,34.41
2009-07-07,612.26,6.70,34.30
2009-07-08,612.22,6.72,33.98
2009-07-09,607.04,6.71,34.17
2009-07-10,606.22,6.78,34.53
2009-07-13,610.57,6.85,34.61
2009-07-14,612.39,6.82,33.87
2009-07-15,613.72,6.78,33.82
2009-07-16,606.19,6.83,33.77
2009-07-17,604.49,6.77,33.55
2009-07-20,602.02,6.73,33.17
2009-07-21,601.48,6.71,33.41
2009-07-22,596.30,6.69,33.17
2009-07-23,597.41,6.69,33.40
2009-07-24,602.99,6.69,33.54
2009-07-27,600.82,6.69,33.55
2009-07-28,607.33,6.64,33.52
2009-07-29,607.48,6.60,33.62
2009-07-30,607.62,6.61,33.43
2009-07-31,609.94,6.57,33.33
2009-08-03,612.61,6.63,33.14
2009-08-04,614.61,6.63,33.42
2009-08-05,615.05,6.71,33.83
2009-08-06,612.15,6.70,33.63
2009-08-07,611.99,6.61,33.18
2009-08-10,615.20,6.63,33.39
2009-08-11,612.51,6.58,33.34
2009-08-12,616.84,6.59,33.39
2009-08-13,620.57,6.61,33.44
2009-08-14,621.99,6.60,33.87
2009-08-17,621.75,6.57,34.05
2009-08-18,624.79,6.55,34.25
2009-08-19,628.25,6.39,33.79
2009-08-20,629.60,6.35,34.24
2009-08-21,630.71,6.35,34.26
